ID,Requisito,Categoria,Criticidade,Obrigatoriedade,Quantidade,Observacoes
1,"ARMÁRIO PARA MEDICAMENTOS - Armário todo em aço com 02 portas de abrir, 04 prateleiras reguláveis, sistema de fechamento com chave, pintura eletrostática, dimensões mínimas: 1,98m altura x 0,90m largura x 0,40m profundidade",Hardware,ALTA,OBRIGATORIO,2,"Equipamento para armazenamento de medicamentos em unidades de saúde. Especificado no ANEXO I, Item 1"
2,"ARMÁRIO PARA UTENSÍLIOS - Armário todo em aço com 02 portas de abrir, 04 prateleiras reguláveis, sistema de fechamento com chave, pintura eletrostática, dimensões mínimas: 1,98m altura x 0,90m largura x 0,40m profundidade",Hardware,ALTA,OBRIGATORIO,2,"Similar ao armário de medicamentos, destinado a utensílios. ANEXO I, Item 2"
3,"ARMÁRIO VITRINE - Armário vitrine em aço com portas de vidro, 04 prateleiras de vidro temperado, sistema de fechamento com chave, iluminação interna, dimensões mínimas: 1,98m altura x 0,90m largura x 0,40m profundidade",Hardware,ALTA,OBRIGATORIO,4,"Armário com visualização para materiais esterilizados. ANEXO I, Item 3"
4,"BALANÇA ANTROPOMÉTRICA DIGITAL - Balança eletrônica com capacidade mínima de 200kg, divisão de 100g, display digital, estadiômetro acoplado com régua retrátil medindo até 2,00m, função tara, selo INMETRO",Hardware,CRITICA,OBRIGATORIO,2,"Equipamento essencial para antropometria em unidades de saúde. Requer certificação INMETRO. ANEXO I, Item 4"
5,"CADEIRA DE RODAS DOBRÁVEL - Cadeira de rodas adulto, estrutura em aço carbono, assento e encosto em nylon, braços e pedais removíveis, freios bilaterais, rodas traseiras com aros de impulsão, sistema de dobragem para transporte",Hardware,ALTA,OBRIGATORIO,2,"Equipamento de mobilidade para pacientes. ANEXO I, Item 5"
6,"GLICOSÍMETRO DIGITAL - Aparelho medidor de glicemia capilar, display em LCD, memória para armazenamento mínimo de 300 resultados, tempo de leitura máximo 10 segundos, volume de amostra máximo 2 microlitros, bivolt, com tiras reagentes e lancetas",Hardware,CRITICA,OBRIGATORIO,2,"Equipamento crítico para controle glicêmico de pacientes diabéticos. Inclui consumíveis (tiras e lancetas). ANEXO I, Item 6"
7,"MACA HOSPITALAR PARA TRANSPORTE - Maca com estrutura tubular em aço, estrado em chapa perfurada, rodízios giratórios com freio, laterais rebatíveis, cabeceira móvel, regulagem de altura mínima de 03 posições, capacidade mínima 150kg",Hardware,CRITICA,OBRIGATORIO,1,"Equipamento crítico para transporte seguro de pacientes. ANEXO I, Item 7"
8,"MESA AUXILIAR COM RODÍZIOS - Mesa auxiliar em aço inox com 01 prateleira, rodízios giratórios com sistema de freio, dimensões mínimas: 0,60m x 0,40m x 0,80m altura",Hardware,MEDIA,OBRIGATORIO,2,"Mesa de apoio para procedimentos médicos. ANEXO I, Item 8"
9,"NEGATOSCÓPIO - Negatoscópio para visualização de radiografias, corpo em aço com pintura eletrostática, tela acrílica, iluminação por lâmpadas fluorescentes, bivolt, dimensões mínimas para 02 filmes 30x40cm",Hardware,ALTA,OBRIGATORIO,3,"Equipamento para análise de exames radiográficos. ANEXO I, Item 9"
10,"OXÍMETRO DE PULSO PORTÁTIL - Oxímetro de pulso digital portátil, sensor tipo clipe para dedo, display em LCD exibindo saturação de oxigênio (SpO2) e frequência cardíaca, bateria recarregável, alarmes audiovisuais ajustáveis",Hardware,CRITICA,OBRIGATORIO,2,"Equipamento crítico para monitoramento de saturação de oxigênio e frequência cardíaca. ANEXO I, Item 10"
