ID,Requisito,Categoria,Criticidade,Obrigatoriedade,Quantidade,Observacoes
1,SISTEMA DE REGISTRO DE PREÇOS - SRP,Software,BAIXA,DESEJAVEL,N/A,"Página 1, Confiança: 0.70"
2,eventual fornecimento e instalação de equipamentos para ampliação e,Hardware,BAIXA,DESEJAVEL,N/A,"Página 1, Confiança: 0.70"
3,modernização do sistema integrado de circuito fechado de televisão –,Software,BAIXA,DESEJAVEL,N/A,"Página 1, Confiança: 0.70"
4,"Sistema de Registro de Preços - SRP,  mediante as condições estabelecidas neste",Software,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.70"
5,fornecimento e instalação de equipamentos para ampliação e modernização do sistema,Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.70"
6,1SOFTWARE  DE  MONITORAMENTO/,Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
7,"(CINQUENTA) LICENÇAS DE CÂMERASUnidade 6 R$ 58.007,05",Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
8,2LICENÇA  DE  USO  DE  CÂMERA  PARA  O,Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
9,"3 JOYSTIK PARA CÂMERA PTZ Unidade 8 R$ 8.212,16",Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
10,"4 CÂMERA PTZ EXTERNA (TIPO 1) Unidade 10 R$ 26.602,68",Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
11,5CÂMERA  BULLET  INTERNA/EXTERNA  LENTE,Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
12,"6 CÂMERA DOME LENTE VF (TIPO3) Unidade 148 R$ 7.378,77",Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
13,7CÂMERA FIXA VARIFOCAL PARA MÓDULO DE,Hardware,BAIXA,DESEJAVEL,N/A,"Página 2, Confiança: 0.80"
14,8CÂMERA DOME  INTERNA DE  BAIXO  CUSTO,Hardware,BAIXA,DESEJAVEL,N/A,"Página 3, Confiança: 0.80"
15,9CÂMERA FIXA VARIFOCAL PARA MÓDULO DE,Hardware,BAIXA,DESEJAVEL,N/A,"Página 3, Confiança: 0.80"
